userid,itemid
1,81
1,169
1,314
1,23134
1,196
1,6980
1,9194
1,23180
1,9582
1,9177
1,2419
1,24401
1,9660
1,13871
1,24339
1,4970
1,9720
1,1992
1,3896
1,9726
1,1049
1,1048
1,18097
1,18138
1,18110
1,6954
1,4574
1,10657
1,18249
1,18305
1,18311
1,23445
1,1849
1,18319
1,18299
1,23400
1,244
1,399
1,174
1,23393
1,1041
1,4952
1,2543
1,18190
1,14
1,2
1,4
1,209
1,10128
1,1048
1,1847
1,23860
1,626
1,4582
1,19160
1,23866
1,11638
1,11723
1,19217
1,19218
1,2001
1,45
1,3102
1,23910
1,4586
1,1069
1,6934
1,9815
1,961
1,799
1,4883
1,23820
1,80
1,3878
1,9295
1,9285
1,2544
1,3879
1,127
1,4881
1,4902
1,8
1,2387
1,23737
1,7090
1,11468
1,18800
1,23682
1,11589
1,18702
1,3129
1,7
1,3128
1,342
1,963
1,23700
1,1568
1,1164
1,642
1,23747
1,18745
1,18718
1,11915
1,23801
1,7112
1,12034
1,1564
1,502
1,244
1,960
1,49
1,18994
1,4914
1,19001
1,3288
1,23810
1,3310
1,336
1,1991
1,23778
1,2372
1,699
1,70
1,2373
1,9582
1,22531
1,7070
1,11129
1,150
1,3892
1,1554
1,22058
1,7037
1,1556
1,22271
1,22297
1,22429
1,276
1,1839
1,3245
1,22331
1,9261
1,7028
1,23902
1,1277
1,9783
1,3240
1,11328
1,2
1,4
1,0
1,23834
1,9569
1,685
1,219
1,7064
1,22082
1,22088
1,1564
1,22087
1,3849
1,2381
1,11252
1,11281
1,3853
1,5031
1,2547
1,23475
1,22488
1,11400
1,5028
1,9636
1,22631
1,4
1,0
1,23427
1,4543
1,580
1,5063
1,23642
1,23592
1,5061
1,3927
1,23593
1,504
1,12047
1,9428
1,4994
1,4977
1,6755
1,9391
1,9381
1,437
1,601
1,34
1,21175
1,21185
1,9450
1,11954
1,20837
1,20858
1,413
1,1185
1,20855
1,2697
1,20842
1,20739
1,24341
1,2698
1,10016
1,20992
1,24262
1,108
1,4877
1,102
1,24269
1,6859
1,21756
1,21877
1,24102
1,4752
1,983
1,204
1,24104
1,6852
1,10320
1,21837
1,4743
1,641
1,845
1,117
1,6846
1,2697
1,9865
1,21428
1,23981
1,6866
1,2675
1,435
1,21417
1,22
1,19
1,42
1,4626
1,6886
1,10496
1,21345
1,21493
1,2623
1,6875
1,4777
1,965
1,6801
1,13989
1,4769
1,6799
1,592
1,111
1,338
1,3759
1,13902
1,13894
1,6784
1,22976
1,21618
1,13344
1,2957
1,22926
1,13674
1,2358
1,9360
1,23252
1,1648
1,21673
1,4733
1,23312
1,21639
1,12492
1,9698
1,21767
1,9281
1,3010
1,12585
1,23152
1,21169
1,12313
1,21123
1,9815
1,1669
1,4727
1,1354
1,2351
1,1009
1,447
1,800
1,21917
1,1579
1,7363
1,1304
1,4853
1,849
1,1799
1,199
1,23166
1,22091
1,4644
1,12759
1,12696
1,1317
1,22388
1,1828
1,23051
1,480
1,4845
1,1975
1,13010
1,23141
1,4648
1,23050
1,23119
1,12433
1,3004
1,4649
1,9663
1,12386
1,3709
1,436
1,4857
1,3727
1,4621
1,9707
1,23217
1,23219
1,1267
1,14675
1,23310
1,391
1,14707
1,9779
1,13743
1,13915
1,13911
1,6
1,23239
1,4594
1,182
1,14631
1,13482
1,266
1,581
1,74
1,15107
1,15102
1,15030
1,13546
1,14888
1,9491
1,15012
1,15007
1,9726
1,2422
1,9138
1,9135
1,4804
1,14945
1,9293
1,14147
1,3815
1,3727
1,4621
1,9707
1,24130
1,2424
1,4795
1,14282
1,24214
1,4601
1,7301
1,4790
1,9713
1,13878
1,24192
1,24181
1,14276
1,14
1,120
1,1
1,4743
1,147
1,114
1,421
1,7
1,2950
1,14176
1,9586
1,24032
1,72
1,1624
1,4593
1,24030
1,406
1,685
1,10508
1,7064
1,15022
1,1355
1,345
1,24323
1,4606
1,1586
1,280
1,3828
1,14845
1,3829
1,10769
1,15049
1,626
1,7139
1,1
1,875
1,4820
1,461
1,540
1,24478
1,2602
1,4818
1,10608
1,24288
1,7357
1,27
1,14529
1,10077
1,128
1,706
1,204
1,7397
1,7387
1,7302
1,9298
