userid,itemid
1,14976
1,601
1,393
1,9350
1,1839
1,5149
1,1597
1,9367
1,16377
1,3269
1,3847
1,10461
1,26922
1,27663
1,11780
1,26956
1,28855
1,1579
1,10
1,799
1,23910
1,4795
1,11225
1,16773
1,1630
1,196
1,3904
1,61
1,12272
1,9736
1,5936
1,27349
1,9982
1,3998
1,11039
1,10682
1,11190
1,6537
1,1954
1,16065
1,15062
1,2987
1,16497
1,13
1,33
1,82
1,11432
1,81
1,5217
1,509
1,24032
1,2422
1,292
1,12476
1,97
1,4155
1,6008
1,16965
1,1775
1,515
1,90
1,21673
1,27096
1,12812
1,11182
1,26830
1,15748
1,14
1,26876
1,6299
1,1553
1,4586
1,23544
1,28906
1,173
1,537
1,4077
1,72
1,2465
1,62
1,23250
1,27786
1,9954
1,16907
1,5708
1,4165
1,1445
1,11590
1,9523
1,5121
1,10408
1,10941
1,5091
1,23737
1,5207
1,3120
1,28826
1,9353
1,11389
1,2409
1,23469
1,6925
1,2
1,2761
1,18305
1,17494
1,9470
1,4977
1,16320
1,5400
1,9517
1,601
1,17782
1,16533
1,15742
1,2999
1,23610
1,4804
1,960
1,13782
1,28571
1,9383
1,504
1,4441
1,1908
1,1641
1,10890
1,9636
1,27212
1,9582
1,28459
1,14110
1,3953
1,191
1,675
1,6846
1,2163
1,1744
1,27232
1,17259
1,4101
1,14993
1,17937
1,15901
1,42
1,3869
1,2786
1,24341
1,7306
1,1236
1,12633
1,15757
1,12141
1,3161
1,23375
1,14532
1,14779
1,14514
1,398
1,27586
1,23826
1,116
1,4717
1,16513
1,15451
1,6265
1,16337
1,24377
1,16356
1,10262
1,187
1,98
1,9495
1,2429
1,15519
1,10938
1,18994
1,4219
1,9381
1,15497
1,1193
1,5238
1,156
1,1767
1,245
1,6478
1,14804
1,6693
1,28479
1,4582
1,26872
1,580
1,1630
1,1501
1,11
1,16317
1,13095
1,7090
1,6561
1,23890
1,22297
1,3304
1,11314
1,6393
1,17921
1,372
1,15336
1,2840
1,28524
1,1516
1,16438
1,18
1,164
1,6600
1,6314
1,3822
1,1277
1,7112
1,7242
1,3929
1,13344
1,2863
1,397
1,2706
1,28936
1,51
1,16984
1,9453
1,4739
1,2950
1,6344
1,21123
1,4727
1,188
1,16204
1,11813
1,26
1,27138
1,16916
1,23399
1,26993
1,9716
1,22488
1,2303
1,1
1,188
1,13915
1,3094
1,358
1,14820
1,1131
1,15472
1,28469
1,6755
1,27354
1,2856
1,11281
1,10167
1,2438
1,238
1,12249
1,357
1,12574
1,2035
1,9838
1,23252
1,22
1,6517
1,1009
1,6320
1,14460
1,15530
1,5912
1,1710
1,9513
1,27719
1,9448
1,27499
1,6493
1,28946
1,10647
1,27142
1,15694
1,17526
1,215
1,14011
1,320
1,1975
1,9721
1,6172
1,27066
1,13770
1,28617
1,393
1,3134
1,10285
1,199
1,4989
1,9244
1,17
1,1960
1,1327
1,4734
1,441
1,9381
1,27548
1,28497
1,3938
1,15773
1,11468
1,582
1,2761
1,538
1,1131
1,875
1,3896
1,12759
1,23495
1,9362
1,989
1,14
1,17937
1,17378
1,17295
1,6922
1,486
1,748
1,27231
1,18800
1,12217
1,27739
1,459
1,9601
1,3155
1,1414
1,2114
1,1355
1,1041
1,3925
1,4743
1,6777
1,11213
1,437
1,9784
1,23819
1,2358
1,5950
1,17920
1,6171
1,23541
1,11970
1,2483
1,280
1,11887
1,120
1,2720
1,204
1,17745
1,15951
1,4
1,3245
1,147
1,14348
1,27055
1,101
1,5778
1,13084
1,6165
1,13
1,9743
1,13122
1,96
1,6242
1,14334
1,9321
1,14727
1,16801
1,5628
1,804
1,16278
1,16176
1,14086
1,6238
1,14945
1,16728
1,0
1,4186
1,16083
1,504
1,3072
1,17523
1,2339
1,2754
1,11252
1,1584
1,15213
1,23633
1,2784
1,9707
1,15727
1,437
1,1313
1,102
1,631
1,21345
1,1475
1,9255
1,26797
1,3094
1,68
1,11184
1,1
1,9742
1,1038
1,244
1,849
1,637
1,4763
1,16300
1,3958
1,3891
1,15800
1,10529
1,2381
1,1710
1,27717
1,3730
1,14708
1,1614
1,28610
1,1794
1,26950
1,1407
1,2165
1,2369
1,162
1,9874
1,341
1,15779
1,23882
1,7189
1,2041
1,17639
1,9485
1,6285
1,12031
1,5256
1,28464
1,2811
1,9229
1,9192
1,9148
1,28928
1,66
1,14847
1,27569
1,10180
1,3214
1,9590
1,4621
1,97
1,4124
1,1661
1,2595
1,12335
1,27575
1,742
1,715
1,16389
1,216
1,1265
1,15002
1,113
1,244
1,6935
1,1
1,5028
1,11299
1,9576
1,3091
1,26794
1,1576
1,26
1,6186
1,4364
1,10587
1,18311
1,16493
1,701
1,2628
1,3766
1,27370
1,27344
1,9820
1,2335
1,1171
1,6886
1,17919
1,700
1,17120
1,1660
1,210
1,3230
1,235
1,1815
1,23642
1,244
1,2577
1,2258
1,11898
1,18
1,10016
1,16817
1,14905
1,26942
1,28662
1,7291
1,9689
1,11162
1,1780
1,16915
1,27115
1,2280
1,3147
1,11723
1,16123
1,26774
1,1103
1,1774
1,1435
1,9671
1,257
1,6949
1,13324
1,11422
1,4970
1,510
1,3877
1,17261
1,6776
1,9747
1,5798
1,26927
1,1628
1,17825
1,1222
1,16666
1,11100
1,4660
1,169
1,295
1,3819
1,9316
1,4127
1,2206
1,17177
1,2623
1,2754
1,3748
1,4926
1,1180
1,15697
1,16373
1,9575
1,5031
1,27206
1,17747
1,27113
1,5241
1,644
1,15850
1,1457
1,16089
1,9481
1,14
1,5357
1,9769
1,849
1,22
1,122
1,9617
1,6605
1,391
1,2853
1,12564
1,4679
1,26924
1,13467
1,3826
1,9835
1,9545
1,1229
1,223
1,13832
1,3923
1,9316
1,1049
1,17225
1,5333
1,28902
1,39
1,7
1,795
1,19
1,5759
1,16673
1,15030
1,9565
1,5817
1,28466
1,11176
1,27808
1,24478
1,27314
1,9674
1,164
1,960
1,10163
1,2785
1,228
1,9732
1,3
1,143
1,2304
1,5329
1,24252
1,5552
1,9446
1,193
1,108
1,100
1,15525
1,14888
1,1230
1,1070
1,14866
1,16668
1,27836
1,10
1,28817
1,15785
1,7139
1,1094
1,17528
1,15839
1,16676
1,4663
1,3778
1,687
1,26771
1,436
1,17621
1,23448
1,15835
1,66
1,3202
1,4626
1,20992
1,9449
1,5082
1,17248
1,1
1,2138
1,2853
1,15220
1,13813
1,10631
1,5990
1,249
1,27387
1,23219
1,26858
1,4378
1,5112
1,9535
1,5221
1,4434
1,4902
1,17140
1,22429
1,1196
1,24104
1,1047
1,82
1,15825
1,700
1,3
1,6022
1,3310
1,328
1,13902
1,92
1,9473
1,4835
1,4879
1,16326
1,2320
1,1172
1,17142
1,27374
1,17567
1,19
1,69
1,43
1,24181
1,1052
1,624
1,1323
1,3829
1,27116
1,0
1,21175
1,28619
1,2
1,1302
1,3152
1,5318
1,5932
1,4644
1,5866
1,12339
1,5207
1,9304
1,23110
1,16293
1,2389
1,3744
1,10284
1,6309
1,11069
1,15736
1,37
1,281
1,2273
1,10420
1,17363
1,182
1,1111
1,28856
1,209
1,72
1,155
1,685
1,14120
1,2171
1,14654
1,3883
1,27358
1,9365
1,143
1,13878
1,921
1,17622
1,1085
1,2596
1,10028
1,5500
1,35
1,22088
1,1259
1,4
1,27833
1,3785
1,24262
1,3230
1,936
1,17534
1,630
1,26997
1,100
1,641
1,28672
1,5976
1,28831
1,10077
1,27191
1,16808
1,3900
1,9608
1,9670
1,3010
1,9762
1,2495
1,2748
1,5603
1,7363
1,1674
1,1321
1,22058
1,958
