userid,itemid
83,870
83,161
83,8680
83,8784
83,11764
83,2883
83,7155
83,4441
83,4439
83,1104
83,80
83,10385
83,4749
83,10683
83,10695
83,14033
83,1972
83,8654
83,14290
83,15446
83,13716
83,5285
83,4734
83,3380
83,1407
83,1140
83,4726
83,13235
83,3008
83,7330
83,5393
83,2336
83,891
83,4646
83,2348
83,9098
83,8966
83,10141
83,920
83,10135
83,4189
83,2955
83,4829
83,15495
83,4823
83,4821
83,10190
83,7222
83,9093
83,1444
83,4841
83,14425
83,12641
83,12676
83,5392
83,12683
83,4179
83,9012
83,4844
83,10165
83,10120
83,3718
83,13522
83,10072
83,12577
83,12580
83,7699
83,7708
83,12038
83,17011
83,697
83,1106
83,4805
83,698
83,7250
83,2991
83,452
83,13372
83,4653
83,241
83,2286
83,7869
83,109
83,7220
83,13366
83,7910
83,4574
83,2128
83,3889
83,2948
83,909
83,1139
83,3584
83,5325
83,1970
83,5364
83,2216
83,3712
83,2215
83,7897
83,2923
83,5357
83,2256
83,995
83,5185
83,13489
83,1869
83,367
83,2212
83,1390
83,4360
83,7679
83,7516
83,5211
83,7348
83,7527
83,7364
83,1767
83,7304
83,2361
83,2360
83,3666
83,12120
83,822
83,3191
83,10233
83,2402
83,14174
83,12091
83,7609
83,5397
83,14199
83,5159
83,10249
83,12339
83,10220
83,2560
83,13730
83,7210
83,15322
83,1560
83,14197
83,1749
83,824
83,7103
83,5226
83,823
83,2018
83,3368
83,1280
83,86
83,2570
83,1282
83,7116
83,1683
83,2047
83,11766
83,2032
83,1018
83,15058
83,10263
83,7051
83,98
83,3863
83,2485
83,2078
83,713
83,777
83,2131
83,4312
83,3902
83,10270
83,3913
83,838
83,7042
83,4985
83,3170
83,4307
83,11015
83,8335
83,5403
83,8006
83,569
83,8003
83,4311
83,7996
83,15047
83,7989
83,10820
83,7182
83,1530
83,2977
83,3823
83,12090
83,5452
83,2412
83,7188
83,7942
83,2201
83,672
83,7204
83,11879
83,7194
83,2191
83,11959
83,1462
83,3052
83,12486
83,8066
83,8061
83,60
83,23
83,1
83,7148
83,40
83,39
83,271
83,208
83,114
83,1165
83,20
83,17
83,449
83,2754
83,248
83,3418
83,1242
83,683
83,682
83,0
83,7161
83,679
83,5105
83,5098
83,1162
83,1955
83,192
83,744
83,1945
83,8087
83,10736
83,8047
83,451
83,148
83,77
83,5274
83,3438
83,862
83,8060
83,838
83,336
83,52
83,13223
83,11376
83,1172
83,500
83,370
83,3281
83,5388
83,5045
83,43
83,1187
83,7383
83,4415
83,209
83,10978
83,8227
83,7603
83,16728
83,3941
83,1383
83,720
83,79
83,3424
83,1531
83,10903
83,2836
83,5367
83,7761
83,16782
83,48
83,3455
83,2084
83,45
83,1637
83,302
83,3252
83,322
83,541
83,607
83,1944
83,530
83,3206
83,7713
83,1015
83,1805
83,5108
83,11429
83,15019
83,7393
83,15372
83,5520
83,5517
83,2486
83,5079
83,1836
83,3099
83,11771
83,93
83,1448
83,13439
83,2356
83,5429
83,3848
83,11843
83,4896
83,7429
83,1396
83,479
83,17248
83,5390
83,5331
83,9566
83,11081
83,9228
83,239
83,7993
83,3656
83,5152
83,13389
83,15188
83,9333
83,9259
83,12298
83,5167
83,8064
83,12649
83,12592
83,2408
83,4079
83,13584
83,13579
83,1428
83,8112
83,7143
83,12270
83,15140
83,13610
83,5467
83,17204
83,611
83,3
83,122
83,1
83,1912
83,15151
83,24
83,20
83,3412
83,17
83,1892
83,9
83,1210
83,145
83,248
83,65
83,683
83,2923
83,1534
83,1240
83,2789
83,2764
83,160
83,0
83,985
83,420
83,1742
83,2067
83,794
83,16
83,1173
83,15327
83,5
83,175
83,72
83,59
83,8336
83,5408
83,440
83,1179
83,15515
83,9756
83,5461
83,8206
83,3095
83,4032
83,2053
83,3172
83,471
83,3500
83,993
83,257
83,3477
83,293
83,517
83,8207
83,258
83,3437
83,7119
83,229
83,7120
83,9699
83,2770
83,13158
83,4717
83,3504
83,3968
83,3228
83,2880
83,7208
83,845
83,144
83,539
83,87
83,583
83,1499
83,1913
83,1524
83,1071
83,633
83,4739
83,2394
83,401
83,447
83,1856
83,880
83,4730
83,8232
83,1885
83,3496
83,4651
83,2060
83,1460
83,1224
83,6199
83,14682
83,7327
83,891
83,9827
83,1844
83,12102
83,2296
83,82
83,546
83,1580
83,7357
83,4012
83,6056
83,2592
83,7337
83,2537
83,1587
83,2773
83,1744
83,12254
83,1768
83,2321
83,2318
83,4094
83,566
83,6138
83,429
83,1283
83,2460
83,12176
83,2454
83,4084
83,648
83,7347
83,9593
83,3699
83,13125
83,7354
83,560
83,7293
83,1288
83,9924
83,1670
83,7239
83,9975
83,11865
83,3945
83,933
83,6170
83,7819
83,13304
83,475
83,1885
83,3965
83,1568
83,93
83,15360
83,15364
83,13325
83,4604
83,9826
83,479
83,7211
83,3919
83,2794
83,7229
83,16129
83,1241
83,12012
83,13355
83,13349
83,103
83,3960
83,13348
83,2135
83,1733
83,1720
83,12040
83,3590
83,12035
83,11976
83,1116
83,7707
83,3181
83,7776
83,9520
83,15424
83,3728
83,7755
83,7266
83,9451
83,3243
83,12498
83,13242
83,2613
83,7269
83,459
83,4609
83,648
83,12658
83,13271
83,12660
83,9245
83,3690
83,17307
83,1949
83,3360
83,7248
83,13990
83,8928
83,1288
83,9924
83,6129
83,9666
83,19782
83,3
83,1
83,9769
83,3215
83,31
83,20
83,9
83,1077
83,148
83,98
83,1138
83,3703
83,79
83,1736
83,38
83,9799
83,1381
83,5175
83,6104
83,672
83,634
83,3302
83,108
83,426
83,1389
83,1395
83,7366
83,1759
83,7362
83,2170
83,470
83,14625
83,6107
83,652
83,1620
83,1761
83,9572
83,8548
83,13939
83,8553
83,4065
83,7318
83,5217
83,9750
83,7093
83,6111
83,4071
83,9793
83,6162
83,9710
83,9740
83,1064
83,11400
83,5144
83,6168
83,14890
83,2379
83,11068
83,3210
83,15537
83,15531
83,14065
83,3581
83,14063
83,11135
83,14932
83,14933
83,14077
83,11728
83,8061
83,583
83,704
83,76
83,11
83,14940
83,4103
83,1258
83,240
83,434
83,8840
83,3407
83,7167
83,2007
83,8845
83,4057
83,3627
83,16435
83,8788
83,5243
83,7140
83,7128
83,4014
83,7127
83,13349
83,13736
83,15208
83,103
83,149
83,9254
83,13752
83,1129
83,117
83,9328
83,1054
83,13746
83,8901
83,85
83,15237
83,13740
83,1136
83,15240
83,9301
83,1618
83,8856
83,11783
83,11775
83,9176
83,4990
83,9224
83,4987
83,1387
83,4040
83,14783
83,7489
83,751
83,1412
83,506
83,2490
83,6030
83,9208
83,3006
83,9508
83,9464
83,9465
83,2044
83,1083
83,901
83,15225
83,9549
83,16353
83,60
83,23
83,1
83,7148
83,40
83,39
83,271
83,208
83,114
83,1165
83,20
83,17
83,449
83,2754
83,248
83,3418
83,1242
83,683
83,682
83,0
83,7161
83,679
83,5105
83,5098
83,1162
83,1955
83,192
83,744
83,1945
83,8087
83,10736
83,8047
83,451
83,148
83,77
83,5274
83,3438
83,862
83,8060
83,838
83,336
83,52
83,13223
83,11376
83,1172
83,500
83,370
83,3281
83,5388
83,5045
83,43
83,1187
83,7383
83,4415
83,209
83,10978
83,8227
83,7603
83,16728
83,3941
83,1383
83,720
83,79
83,3424
83,1531
83,10903
83,2836
83,5367
83,7761
83,16782
34,2222
34,8669
34,959
34,2871
34,6078
34,2468
34,8671
34,6089
34,3878
34,11467
34,6087
34,6076
34,9561
34,8679
34,9518
34,8762
34,7457
34,3465
34,7418
34,9450
34,2048
34,7463
34,15312
34,9461
34,3125
34,3509
34,814
34,2859
34,3479
34,6191
34,2251
34,8711
34,3518
34,13848
34,4122
34,3241
34,2378
34,16530
34,17661
34,37
34,9795
34,27
34,65
34,46
34,345
34,670
34,126
34,3532
34,3541
34,8962
34,7212
34,16517
34,165
34,1920
34,1102
34,12201
34,5007
34,3366
34,7550
34,14832
34,118
34,6195
34,3944
34,7073
34,15335
34,15282
34,3342
34,7477
34,1937
34,15279
34,7438
34,8348
34,9344
34,14841
34,13795
34,10991
34,8240
34,452
34,661
34,7321
34,5030
34,73
34,208
34,433
34,1837
34,9
34,2128
34,248
34,5325
34,2940
34,3153
34,1970
34,190
34,2256
34,995
34,2631
34,2117
34,367
34,2822
34,893
34,7315
34,1939
34,8087
34,2361
34,5680
34,3491
34,5699
34,2402
34,14174
34,5397
34,7497
34,5704
34,13223
34,17688
34,7852
34,1655
34,7226
34,3436
34,5705
34,5004
34,13774
34,12638
34,4376
34,12673
34,5677
34,10199
34,8929
34,4459
34,10132
34,10384
34,10621
34,1491
34,1489
34,1196
34,8565
34,2463
34,4387
34,11347
34,11702
34,11682
34,13816
34,8863
34,13178
34,5668
34,5669
34,10492
34,12691
34,14821
34,5109
34,7066
34,11065
34,14809
34,554
34,141
34,211
34,33
34,1808
34,792
34,2532
34,447
34,484
34,755
34,12175
34,2176
34,1394
34,15264
34,1188
34,1220
34,878
34,999
34,2164
34,2591
34,2586
34,12698
34,3503
34,2569
34,4466
34,3050
34,1048
34,11451
34,9069
34,1675
34,14776
34,4489
34,9583
34,8404
34,4902
34,82
34,15318
34,19003
34,1846
34,41
34,444
34,489
34,9453
34,14763
34,465
34,12964
34,3115
34,4193
34,799
34,116
34,2042
34,9554
34,501
34,4920
34,2029
34,522
34,11503
34,4228
34,2247
34,12953
34,11499
34,8874
34,3923
34,598
34,15236
34,5723
34,9304
34,5726
34,5727
34,14851
34,8904
34,11824
34,3838
34,118
34,14912
34,17408
34,632
34,3808
34,3110
34,3809
34,4882
34,1065
34,3085
34,4883
34,4144
34,4885
34,3818
34,8659
34,9987
34,446
34,3844
34,3114
34,8489
34,2482
34,2022
34,10030
34,8484
34,8478
34,2
34,9939
34,12983
34,11049
34,11045
34,7081
34,8928
34,991
34,14859
34,12978
34,1507
34,9613
34,5571
34,12973
34,15501
34,14891
34,237
34,1515
34,997
34,2775
34,7114
34,11329
34,8646
34,9947
34,1197
34,80
34,9310
34,7328
34,5582
34,1482
34,12914
34,1000
34,11317
34,9106
34,1432
34,4955
34,15446
34,13716
34,393
34,743
34,12907
34,9600
34,12906
34,12901
34,9331
34,4258
34,7268
34,4255
34,5393
34,5534
34,7726
34,2082
34,7715
34,18720
34,3862
34,28
34,48
34,4253
34,11935
34,264
34,3047
34,55
34,12991
34,630
34,5544
34,9588
34,3357
34,7343
34,5249
34,368
34,7627
34,3350
34,13057
34,3635
34,5238
34,4276
34,4275
34,13056
34,13054
34,7660
34,12121
34,12238
34,1748
34,14661
34,1288
34,8281
34,15339
34,17326
34,2552
34,15337
34,13042
34,18647
34,4335
34,4336
34,15289
34,7056
34,3387
34,7049
34,5639
34,3645
34,4346
34,5641
34,5160
34,7377
34,7061
34,11755
34,3585
34,11037
34,15123
34,7069
34,13074
34,13073
34,5591
34,12525
34,3574
34,15154
34,9882
34,15163
34,13071
34,4136
34,12459
34,3205
34,5605
34,16827
34,11170
34,15011
34,14989
34,8075
34,10739
34,15080
34,22
34,250
34,1651
34,4500
34,721
34,570
34,8149
34,5769
34,1402
34,12492
34,2932
34,4524
34,289
34,2163
34,1041
34,5930
34,4400
34,99
34,4366
34,3294
34,8148
34,10843
34,2437
34,13027
34,10854
34,7197
34,5942
34,7200
34,7975
34,5949
34,7190
34,13019
34,5193
34,12897
34,7124
34,1180
34,11003
34,11001
34,12776
34,62
34,2417
34,389
34,3455
34,7044
34,87
34,1039
34,1382
34,14
34,484
34,478
34,933
34,4871
34,12772
34,4425
34,5921
34,1425
34,434
34,7048
34,4562
34,11429
34,317
34,8382
34,8388
34,3762
34,534
34,3632
34,1419
34,2426
34,15303
34,2427
34,5894
34,15066
34,10231
34,11036
34,3705
34,17621
34,432
34,2227
34,1954
34,5896
34,3710
34,2217
34,407
34,36
34,581
34,780
34,8183
34,1636
34,4454
34,1947
34,1413
34,4446
34,1961
34,278
34,53
34,4635
34,11259
34,826
34,836
34,1977
34,1976
34,1975
34,837
34,8269
34,8226
34,4575
34,2805
34,4525
34,4624
34,16757
34,14150
34,10244
34,11888
34,15231
34,44
34,8
34,26
34,51
34,375
34,5913
34,3213
34,49
34,1717
34,923
34,2625
34,5916
34,32
34,1603
34,635
34,600
34,2710
34,1385
34,157
34,4538
34,1617
34,4483
34,4566
34,3622
34,757
34,1916
34,4208
34,2136
34,2681
34,7570
34,2629
34,3628
34,7579
34,4140
34,7297
34,5989
34,3924
34,19263
34,531
34,2105
34,41
34,10355
34,30
34,3166
34,3368
34,899
34,7666
34,820
34,4350
34,3156
34,3795
34,992
34,1501
34,3113
34,7635
34,7646
34,10377
34,10370
34,7339
34,7350
34,1386
34,7504
34,12200
34,4280
34,685
34,7680
34,867
34,7832
34,7836
34,1925
34,10330
34,5955
34,14454
34,10331
34,10327
34,19218
34,279
34,44
34,23
34,136
34,181
34,48
34,5963
34,974
34,2282
34,4
34,251
34,539
34,389
34,3636
34,5964
34,607
34,333
34,2793
34,2301
34,1384
34,10092
34,1610
34,4797
34,1609
34,3808
34,7876
34,7231
34,4268
34,12716
34,9006
34,10176
34,1962
34,2621
34,470
34,7278
34,12515
34,12742
34,10131
34,2430
34,12802
34,1421
34,10127
34,5978
34,3390
34,320
34,2793
34,1427
34,14483
34,9095
34,5981
34,10637
34,11298
34,12638
34,7333
34,451
34,11215
34,5891
34,3679
34,14511
34,8545
34,4332
34,6199
34,14507
34,11321
34,7294
34,10570
34,1859
34,4334
34,118
34,11384
34,12875
34,17587
34,8626
34,4775
34,421
34,19305
34,4302
34,19
34,5815
34,8443
34,11061
34,2355
34,32
34,1769
34,14
34,3187
34,14280
34,10731
34,4322
34,4846
34,3616
34,8438
34,757
34,2040
34,2326
34,599
34,2776
34,10719
34,16880
34,14306
34,14311
34,2006
34,8429
34,4861
34,7181
34,11130
34,1043
34,8473
34,257
34,11126
34,7170
34,2872
34,3175
34,17335
34,21
34,7169
34,5787
34,8492
34,7155
34,3790
34,2516
34,4199
34,494
34,4670
34,1506
34,4672
34,8495
34,10437
34,11694
34,1777
34,3060
34,10439
34,10465
34,10135
34,7147
34,10460
34,12825
34,8800
34,12820
34,12819
34,8807
34,4079
34,10396
34,4523
34,13752
34,2587
34,10394
34,11795
34,795
34,9012
34,11800
34,19160
34,472
34,89
34,4656
34,2506
34,1468
34,2300
34,8149
34,2057
34,3488
34,2293
34,3009
34,2216
34,2476
34,10391
34,765
34,1668
34,2212
34,1390
34,7153
34,10423
34,10421
34,2725
34,4381
34,5680
34,3666
34,7386
34,5833
34,3282
34,7434
34,7497
34,7399
34,8786
34,3236
34,10530
34,638
34,11481
34,4455
34,15213
34,2652
34,2656
34,304
34,51
34,528
34,1829
34,1582
34,8703
34,8719
34,2606
34,1570
34,8720
34,8661
34,383
34,7
34,11461
34,15342
34,10488
34,7392
34,1110
34,5859
34,10487
34,10485
34,11633
34,2736
34,12839
34,1928
34,2640
34,4719
34,11611
34,11612
34,8726
34,8743
34,12830
34,11561
34,1491
34,4715
34,17848
34,580
34,326
34,7456
34,510
34,753
34,12833
34,15
34,3510
34,3378
34,10511
34,581
34,2328
34,12834
34,14352
34,4711
34,204
34,5226
34,17774
34,17729
34,3277
34,1847
34,7472
34,11631
34,1315
34,10491
34,1904
34,4432
34,2314
34,1525
34,3863
34,2805
34,8665
34,5851
34,4705
34,7380
34,14385
34,12806
34,16476
34,5850
34,2896
34,582
