userid,itemid
83,7330
83,12498
83,920
83,7609
83,13349
83,11
83,31
83,652
83,12580
83,14682
83,15446
83,40
83,7127
83,5105
83,1242
83,4040
83,13325
83,1224
83,45
83,3627
83,1767
83,1972
83,103
83,2460
83,4441
83,8788
83,7713
83,9508
83,2321
83,11771
83,15372
83,7679
83,79
83,1387
83,1077
83,240
83,13736
83,9572
83,506
83,880
83,12270
83,4071
83,5331
83,611
83,1744
83,429
83,192
83,4103
83,86
83,1015
83,11068
83,9520
83,3095
83,11783
83,9750
83,15327
83,2135
83,20
83,2356
83,7128
83,15140
83,59
83,7516
83,933
83,10978
83,2067
83,15515
83,9566
83,1383
83,14425
83,1460
83,1136
83,546
83,8047
83,77
83,2047
83,4065
83,7527
83,838
83,7222
83,7194
83,13355
83,12592
83,13271
83,3099
83,1242
83,9826
83,370
83,1389
83,1945
83,161
83,633
83,7362
83,985
83,5217
83,6138
83,1210
83,13389
83,2412
83,1138
83,14933
83,13439
83,2256
83,2486
83,9098
83,3902
83,1568
83,5274
83,7293
83,1412
83,1913
83,15188
83,1736
83,9328
83,257
83,3302
83,7910
83,8784
83,7318
83,838
83,6170
83,9975
83,52
83,17248
83,11959
83,5243
83,1955
83,3718
83,7204
83,5517
83,122
83,4609
83,7161
83,12120
83,995
83,2286
83,7699
83,5226
83,1759
83,15019
83,1869
83,3210
83,13990
83,3215
83,14625
83,8060
83,3052
83,14199
83,15424
83,4094
83,720
83,76
83,12254
83,4821
83,9549
83,1580
83,14063
83,60
83,1083
83,10903
83,1258
83,12577
83,7211
83,2060
83,38
83,43
83,4749
83,4987
83,12641
83,85
83,698
83,648
83,7776
83,209
83,192
83,7603
83,1444
83,4805
83,4012
83,5397
83,5388
83,566
83,3584
83,16782
83,1670
83,2537
83,60
83,1944
83,117
83,114
83,10736
83,3496
83,15360
83,87
83,683
83,449
83,11728
83,8112
83,14197
83,1071
83,1970
83,500
83,1172
83,6199
83,6162
83,5390
83,7357
83,2923
83,43
83,1805
83,5520
83,12038
83,2007
83,9451
83,7755
83,583
83,1531
83,20
83,1383
83,13223
83,7269
83,1165
83,13584
83,11775
83,3712
83,2592
83,7347
83,5367
83,11081
83,17307
83,7116
83,16129
83,14077
83,530
83,824
83,8207
