itemid,userid
110,0
675,0
202,0
840,0
18,0
67,0
832,0
167,0
117,0
5286,0
611,0
4531,0
398,0
218,0
12,0
804,0
5,0
926,0
551,0
157,0
279,0
20,0
1900,0
13847,0
505,0
1039,0
373,0
4987,0
13848,0
1092,0
116,0
1559,0
13849,0
396,0
734,0
878,0
13850,0
100,0
0,0
2232,0
1295,0
13851,0
974,0
6615,0
1149,0
394,0
181,0
723,0
325,0
828,0
2813,305
13852,305
1219,305
13853,305
13854,305
13846,305
664,305
13855,305
13857,305
13858,305
13859,305
13860,305
3331,305
13861,305
13862,305
13863,305
13864,305
13856,305
13844,305
3610,305
3594,305
13834,305
13843,305
13825,305
13826,305
1745,305
13827,305
13828,305
13829,305
13830,305
13831,305
6863,305
13832,305
13824,305
13833,305
13835,305
2717,305
2823,305
13836,305
13837,305
4152,305
13838,305
13839,305
13840,305
13841,305
13842,305
13865,305
4943,305
13845,305
13866,305
110,1248
202,1248
218,1248
12,1248
157,1248
20,1248
373,1248
1645,1248
219,1248
488,1248
11,1248
194,1248
1481,1248
22,1248
13889,1248
35,1248
13891,1248
102,1248
326,1248
25,1248
13892,1248
2759,1248
224,1248
334,1248
13893,1248
13894,1248
461,1248
474,1248
163,1248
30,1248
597,1248
1141,1248
199,1248
13895,1248
2120,1248
4794,1248
327,1248
636,1248
87,1248
478,1248
261,1248
1767,1248
606,1248
127,1248
235,1248
767,1248
8,1248
169,1248
418,1248
302,1248
202,1247
11,1247
30,1247
87,1247
8,1247
2793,1247
376,1247
207,1247
318,1247
50,1247
90,1247
1162,1247
2172,1247
776,1247
107,1247
299,1247
772,1247
158,1247
27,1247
404,1247
62,1247
156,1247
669,1247
113,1247
5566,1247
1707,1247
416,1247
2008,1247
80,1247
2723,1247
1248,1247
38,1247
234,1247
268,1247
391,1247
5611,1247
97,1247
105,1247
3,1247
33,1247
17,1247
32,1247
579,1247
3813,1247
78,1247
24,1247
711,1247
1144,1247
393,1247
111,1247
373,1246
830,1246
2745,1246
604,1246
13896,1246
13897,1246
13898,1246
569,1246
764,1246
2035,1246
3464,1246
1388,1246
317,1246
307,1246
2152,1246
633,1246
13890,1246
13899,1246
980,1246
31,1246
769,1246
5119,1246
3200,1246
526,1246
713,1246
2381,1246
13901,1246
166,1246
869,1246
577,1246
2406,1246
3925,1246
1225,1246
1068,1246
3922,1246
3287,1246
13902,1246
5267,1246
1067,1246
13903,1246
533,1246
443,1246
13904,1246
13905,1246
5702,1246
423,1246
5714,1246
143,1246
2772,1246
