userid,itemid
0,734
0,116
0,373
0,2232
0,974
0,167
0,13851
0,828
0,926
0,157
0,611
0,18
0,1900
0,1295
0,67
0,12
0,218
0,398
0,13847
0,1149
0,100
0,13849
0,202
0,13850
0,110
0,1559
0,13848
0,551
0,4987
0,5
0,1039
0,0
0,1092
0,396
0,394
305,13845
305,13865
305,1219
305,13855
305,13836
305,13852
305,3594
305,13866
305,13842
305,13854
305,13834
305,13844
305,4152
305,13828
305,13835
305,3610
305,13858
305,664
305,13840
305,3331
305,13831
305,13826
305,13856
305,13860
305,13857
305,13859
305,13846
305,13841
305,4943
305,13863
305,2717
305,13853
305,13862
305,13824
305,13829
1248,169
1248,35
1248,224
1248,767
1248,202
1248,488
1248,127
1248,597
1248,474
1248,8
1248,102
1248,194
1248,1767
1248,11
1248,218
1248,13895
1248,2759
1248,261
1248,326
1248,1645
1248,13891
1248,87
1248,606
1248,4794
1248,13894
1248,157
1248,1141
1248,25
1248,110
1248,199
1248,235
1248,327
1248,373
1248,12
1248,13893
1247,107
1247,24
1247,3813
1247,579
1247,111
1247,2723
1247,27
1247,50
1247,5611
1247,2793
1247,113
1247,105
1247,156
1247,234
1247,1144
1247,2172
1247,393
1247,376
1247,711
1247,62
1247,17
1247,78
1247,38
1247,5566
1247,318
1247,158
1247,2008
1247,772
1247,669
1247,33
1247,202
1247,207
1247,11
1247,391
1247,80
1246,769
1246,5714
1246,2152
1246,2745
1246,5267
1246,373
1246,166
1246,2035
1246,3200
1246,2406
1246,980
1246,569
1246,13901
1246,13899
1246,307
1246,3287
1246,1068
1246,713
1246,31
1246,1811
1246,13897
1246,2381
1246,423
1246,830
1246,143
1246,5702
1246,764
1246,317
1246,13898
1246,13903
1246,604
1246,3925
1246,443
1246,5119
1246,13904
1245,74
1245,81
1245,174
1245,49
1245,144
1245,257
1245,0
1245,6
1245,5093
1245,69
1245,4155
1245,172
1245,92
1245,118
1245,262
1245,15
1245,747
1245,29
1245,130
1245,204
1245,753
1245,2
1245,879
1245,314
1245,2807
1245,1095
1245,63
1245,119
1245,621
1245,368
1245,4
1245,59
1245,276
1245,16
1245,60
1244,13869
1244,13907
1244,10
1244,1196
1244,211
1244,1
1244,803
1244,28
1244,1504
1244,13887
1244,166
1244,175
1244,0
1244,34
1244,1842
1244,341
1244,279
1244,13900
1244,13878
1244,1060
1244,1178
1244,7
1244,23
1244,15
1244,29
1244,5925
1244,13888
1244,3422
1244,1774
1244,1796
1244,13908
1244,174
1244,307
1244,262
1244,4927
1243,1315
1243,350
1243,330
1243,1551
1243,206
1243,5646
1243,2761
1243,13876
1243,1143
1243,2947
1243,2024
1243,21
1243,1695
1243,346
1243,13868
1243,2724
1243,13873
1243,1400
1243,1683
1243,1032
1243,68
1243,2209
1243,1247
1243,434
1243,4409
1243,13880
1243,414
1243,13872
1243,1332
1243,13875
1243,13874
1243,177
1243,3313
1243,2871
1243,433
1242,454
1242,4279
1242,740
1242,48
1242,291
1242,73
1242,1162
1242,4445
1242,392
1242,1761
1242,207
1242,2033
1242,98
1242,841
1242,1248
1242,132
1242,178
1242,1311
1242,404
1242,464
1242,531
1242,710
1242,35
1242,97
1242,287
1242,937
1242,33
1242,274
1242,2000
1242,550
1242,627
1242,88
1242,427
1242,1021
1242,932
1241,74
1241,0
1241,337
1241,2052
1241,384
1241,935
1241,649
1241,5997
1241,13
1241,2891
1241,553
1241,16
1241,24
1241,250
1241,352
1241,69
1241,3415
1241,292
1241,1129
1241,34
1241,994
1241,314
1241,60
1241,5
1241,185
1241,152
1241,19
1241,10
1241,1205
1241,4
1241,1484
1241,2
1241,49
1241,133
1241,1280
1240,243
1240,477
1240,13882
1240,468
1240,128
1240,554
1240,210
1240,39
1240,1100
1240,20
1240,1016
1240,4345
1240,424
1240,21
1240,1543
1240,241
1240,6
1240,614
1240,1064
1240,221
1240,767
1240,32
1240,2
1240,414
1240,303
1240,1364
1240,164
1240,331
1240,997
1240,837
1240,4325
1240,147
1240,340
1240,126
1240,169
1239,59
1239,75
1239,65
1239,18
1239,9
1239,370
1239,183
1239,192
1239,55
1239,357
1239,273
1239,232
1239,34
1239,10
1239,1117
1239,40
1239,237
1239,96
1239,29
1239,85
1239,245
1239,15
1239,70
1239,151
1239,30
1239,104
1239,361
1239,41
1239,63
1239,19
1239,120
1239,33
1239,7
1239,0
1239,400
1238,13765
1238,6196
1238,13821
1238,2748
1238,13884
1238,13886
1238,1347
1238,695
1238,1952
1238,1456
1238,6324
1238,1122
1238,5915
1238,6231
1238,6071
1238,798
1238,2132
1238,13767
1238,13822
1238,13759
1238,6165
1238,13763
1238,1441
1238,13760
1238,13758
1238,4540
1238,2140
1238,13761
1238,13823
1238,13766
1238,138
1238,3701
1238,1763
1238,13764
1238,5800
1237,249
1237,839
1237,2923
1237,2356
1237,588
1237,78
1237,99
1237,570
1237,4041
1237,6571
1237,277
1237,3
1237,318
1237,772
1237,1396
1237,320
1237,715
1237,500
1237,11
1237,539
1237,13772
1237,508
1237,113
1237,57
1237,44
1237,800
1237,35
1237,551
1237,186
1237,432
1237,268
1237,2723
1237,269
1237,47
1237,1055
1236,0
1236,13750
1236,13757
1236,13773
1236,419
1236,13739
1236,3798
1236,237
1236,13740
1236,2778
1236,4783
1236,13742
1236,13737
1236,5622
1236,177
1236,13736
1236,592
1236,13743
1236,2719
1236,13744
1236,13776
1236,13741
1236,102
1236,13756
1236,13752
1236,1178
1236,13774
1236,13738
1236,212
1236,2415
1236,13749
1236,13775
1236,13746
1236,2709
1236,13768
1235,184
1235,1
1235,171
1235,3898
1235,785
1235,13
1235,206
1235,13753
1235,145
1235,66
1235,104
1235,95
1235,1728
1235,0
1235,89
1235,395
1235,2710
1235,5
1235,1507
1235,16
1235,3339
1235,29
1235,2
1235,19
1235,1244
1235,61
1235,49
1235,75
1235,67
1235,4
1235,192
1235,7
1235,72
1235,17
1235,285
1234,100
1234,38
1234,129
1234,490
1234,8
1234,40
1234,3299
1234,1161
1234,493
1234,3927
1234,47
1234,246
1234,67
1234,13778
1234,5333
1234,330
1234,519
1234,3289
1234,1845
1234,37
1234,646
1234,25
1234,51
1234,866
1234,2283
1234,336
1234,115
1234,32
1234,5329
1234,203
1234,5328
1234,36
1234,258
1234,20
1234,297
1233,705
1233,2307
1233,210
1233,2172
1233,1263
1233,1428
1233,228
1233,5169
1233,3312
1233,13801
1233,5192
1233,1813
1233,644
1233,3900
1233,1335
1233,1821
1233,112
1233,4152
1233,216
1233,67
1233,3894
1233,13803
1233,241
1233,1005
1233,5134
1233,5116
1233,13805
1233,100
1233,1588
1233,13804
1233,13808
1233,3323
1233,5443
1233,13809
1233,1107
1232,41
1232,72
1232,2254
1232,55
1232,279
1232,593
1232,14
1232,7
1232,10
1232,247
1232,49
1232,321
1232,250
1232,2
1232,13802
1232,592
1232,26
1232,96
1232,18
1232,309
1232,1027
1232,232
1232,1262
1232,29
1232,120
1232,1855
1232,16
1232,1815
1232,59
1232,4
1232,578
1232,13
1232,5199
1232,1261
1232,15
1231,997
1231,637
1231,5248
1231,591
1231,13811
1231,1232
1231,5247
1231,1081
1231,696
1231,834
1231,193
1231,984
1231,13818
1231,831
1231,1228
1231,485
1231,173
1231,2238
1231,1773
1231,13815
1231,323
1231,3983
1231,2211
1231,811
1231,13814
1231,13817
1231,939
1231,1730
1231,388
1231,653
1231,566
1231,933
1231,1374
1231,1320
1231,3961
1230,427
1230,47
1230,13819
1230,3873
1230,1171
1230,98
1230,205
1230,1062
1230,190
1230,219
1230,179
1230,44
1230,3
1230,537
1230,622
1230,466
1230,3963
1230,2333
1230,636
1230,2734
1230,5685
1230,77
1230,82
1230,745
1230,137
1230,1925
1230,38
1230,13820
1230,35
1230,2818
1230,105
1230,240
1230,1793
1230,762
1230,37
1229,15
1229,1822
1229,5621
1229,59
1229,769
1229,17
1229,115
1229,1180
1229,875
1229,940
1229,13790
1229,1874
1229,61
1229,680
1229,578
1229,1646
1229,4
1229,46
1229,5
1229,290
1229,143
1229,5653
1229,31
1229,88
1229,22
1229,3386
1229,29
1229,23
1229,272
1229,255
1229,1
1229,18
1229,1642
1229,13812
1229,306
1228,60
1228,34
1228,7
1228,133
1228,63
1228,1
1228,1129
1228,55
1228,91
1228,92
